Name,discounted_price,actual_price,saving_percent,rating,reviews,brand,model,core,ssd,ssd_gb,has_valid_ssd
Lenovo Ideapad Slim 3 13th Gen Core i3 DOS,101999,129999,22,,,lenovo,Ideapad Slim 3 13th Gen Core i3 DOS,Core i3,,,0
Lenovo Ideapad 5 15.6 Inches 11th Gen Core i5 DOS (8GB - 512GB),144599,174999,17,5,1,lenovo,Ideapad 5 15.6 Inches 11th Gen Core i5 DOS,Core i5,,,0
LENOVO LEGION PRO 5 Ci7-14650HX (16GB-1TB) RTX-4060-8GB,469999,495000,5,,,lenovo,LEGION PRO 5 Ci7-14650HX  RTX-4060-8GB,,,,0
Lenovo V15 G4 Core i3 13th Gen,110999,200000,45,,,lenovo,V15 G4 Core i3 13th Gen,Core i3,,,0
Lenovo V15 G3 15.6 Inches 12th Gen Core i5 DOS (4GB - 256GB),179999,199999,10,,,lenovo,V15 G3 15.6 Inches 12th Gen Core i5 DOS,Core i5,,,0
Lenovo Legion Pro 5 Ultra 9-275HX (32GB-1TB SSD) RTX 5070 8GB,696999,745000,6,,,lenovo,Legion Pro 5 Ultra 9-275HX  RTX 5070 8GB,Ultra 9,,,0
Lenovo V15 G3 15.6 Inches 12th Gen Core i7 DOS (8GB - 512GB),181999,249999,27,,,lenovo,V15 G3 15.6 Inches 12th Gen Core i7 DOS,Core i7,,,0
LENOVO LOQ 15 Core i7 14650HX,376999,424999,11,,,lenovo,LOQ 15 Core i7 14650HX,Core i7,,,0
LENOVO LEGION PRO 5 Ci9-14900HX (32GB-1TB SSD) RTX 4070 8GB,629999,699999,10,,,lenovo,LEGION PRO 5 Ci9-14900HX  RTX 4070 8GB,,,,0
LENOVO LOQ 15 CI7-14650HX,401999,449000,10,,,lenovo,LOQ 15 CI7-14650HX,,,,0
Lenovo Thinkpad  T14 13th Gen Core I7 DOS,388999,400000,3,,,lenovo,Thinkpad  T14 13th Gen Core I7 DOS,,,,0
Lenovo loq 15 13th Core i5 13450hx (24GB-512GB) DOS,266999,285000,6,,,lenovo,loq 15 13th Core i5 13450hx  DOS,Core i5,,,0
Lenovo ThinkPad E15 G4 15.6 Inches 12th Gen Core i7 Backlit Keyboard DOS (8GB - 512GB),242999,299999,19,,,lenovo,ThinkPad E15 G4 15.6 Inches 12th Gen Core i7 Backlit Keyboard DOS,Core i7,,,0
Lenovo Legion Pro 7 Ultra 9-275HX (32GB-2TB SSD) RTX 5070Ti 12GB 240Hz,992999,1040000,5,,,lenovo,Legion Pro 7 Ultra 9-275HX  RTX 5070Ti 12GB 240Hz,Ultra 9,,,0
Lenovo IdeaPad Slim 3 Ryzen 7 (8GB-512GB),146999,175000,16,,,lenovo,IdeaPad Slim 3 Ryzen 7,Ryzen 7,,,0
Lenovo Legion Pro 7 Ultra 9 275HX (64GB-2TB SSD) RTX 5080 16GB 240Hz,1451999,1499900,3,,,lenovo,Legion Pro 7 Ultra 9 275HX  RTX 5080 16GB 240Hz,Ultra 9,,,0
Lenovo ThinkPad E14 G5 13th Gen Core i5 1335u (8GB-512GB),243999,290000,16,,,lenovo,ThinkPad E14 G5 13th Gen Core i5 1335u,Core i5,,,0
Lenovo ThinkPad E16 Gen 2 - Intel Core Ultra 7 (16GB-512GB),287999,340000,15,,,lenovo,ThinkPad E16 Gen 2 - Intel Core Ultra 7,Ultra 7,,,0
LENOVO LOQ 15 Ci7 13650HX,300999,349000,14,,,lenovo,LOQ 15 Ci7 13650HX,,,,0
LENOVO LOQ 15 15IRX9 Core i5 13th Gen,261999,275000,5,,,lenovo,LOQ 15 15IRX9 Core i5 13th Gen,Core i5,,,0
Lenovo LOQ 15  Inches 13th Gen Core i7 (16GB - 512GB),324999,380000,14,,,lenovo,LOQ 15  Inches 13th Gen Core i7,Core i7,,,0
Lenovo V15 G4 Core i7 13th Gen (8GB-512GB),184999,250000,26,,,lenovo,V15 G4 Core i7 13th Gen,Core i7,,,0
Lenovo Yoga 9 Intel Core Ultra 7 (16GB-1TB SSD),396999,449999,12,,,lenovo,Yoga 9 Intel Core Ultra 7,Ultra 7,,,0
Lenovo IdeaPad 5 Core i7 12th Gen (16GB-512GB),205999,238000,13,,,lenovo,IdeaPad 5 Core i7 12th Gen,Core i7,,,0
Lenovo ThinkPad E16 G1 15.6 Inches 13th Gen Core i7 (16GB - 512GB),254999,300000,15,,,lenovo,ThinkPad E16 G1 15.6 Inches 13th Gen Core i7,Core i7,,,0
Lenovo Ideapad Slim 3 13th Gen Core i7 DOS(16GB-512GB),168999,200000,16,,,lenovo,Ideapad Slim 3 13th Gen Core i7 DOS,Core i7,,,0
Lenovo loq 15 13th Core i7 13650hx (24GB-512GB) DOS,324999,355000,8,5,1,lenovo,loq 15 13th Core i7 13650hx  DOS,Core i7,,,0
Lenovo Yoga 7 2 in 1 16 - Intel Core Ultra 7 (16GB-1TB),261999,370000,29,,,lenovo,Yoga 7 2 in 1 16 - Intel Core Ultra 7,Ultra 7,,,0
Lenovo Thinkbook 15G2 11th Gen Core I7 D0S,181999,200000,9,,,lenovo,Thinkbook 15G2 11th Gen Core I7 D0S,,,,0
Lenovo IdeaPad Slim 5 Ultra 7 155H (16GB-512GB) DOS,256999,280000,8,,,lenovo,IdeaPad Slim 5 Ultra 7 155H  DOS,Ultra 7,,,0
Lenovo Legion Pro 5 Ultra 7-255HX (32GB-1TB SSD) RTX 5060 8GB,622999,670000,7,,,lenovo,Legion Pro 5 Ultra 7-255HX  RTX 5060 8GB,Ultra 7,,,0
Lenovo Legion 5 Ci9-14900HX (32GB-1TB SSD) RTX 5070 8GB,599999,650000,8,,,lenovo,Legion 5 Ci9-14900HX  RTX 5070 8GB,,,,0
Lenovo ThinkPad E16 G1 14 Inches 13th Gen Core i5  (8GB - 512GB),237999,250000,5,,,lenovo,ThinkPad E16 G1 14 Inches 13th Gen Core i5,Core i5,,,0
Lenovo ThinkBook16 - Ci5-1335U (8GB 512GB),161599,225000,28,,,lenovo,ThinkBook16 - Ci5-1335U,,,,0
